item_type,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Fala, menina!","Cintia Barreto, Luciana Grether",Cintia,Barreto,"Biblioteca do Ponto de Cultura UBEMTEM",9788595000803,8595000808,"Um livro para pequenas feministas e seus aliados: assim é ""Fala, menina!""O livro, voltado para o público pré-adolescente, é não apenas necessário, mas urgente nos dias atuais. Na narrativa, a protagonista toma a voz para si, apossa-se de seus pensamentos, de suas palavras, da sua liberdade e do seu direito de expressão. Sua voz sai retumbante da garganta, o ar espalha-se no espaço e daí ecoam as palavras, os desejos, as angústias, as ânsias do ser mulher. Em ""Fala, menina!"", portanto, a protagonista toma a palavra e dela faz uso. Antes disso, porém, descobre que a sociedade ainda hoje insiste em abafar sua voz em função de sua condição de gênero. Vai daí a necessidade de impor seus posicionamentos e pensamentos. É importante ressaltar que Fala, menina! constitui material literário da mais alta qualidade, construído pela talentosa escritora Cintia Barreto, a partir de ricos recursos metafóricos, intertextuais e com coloridas e vibrantes ilustrações da também talentosa, e premiada, ilustradora Luciana Grether. O livro diverte e encanta, visto que é arte no seu sentido lato. ""Fala, menina!"" fala para muitas pessoas: responsáveis, docentes, mediadores e mediadoras de leitura, bibliotecários e bibliotecárias. Fala para as meninas (claro!), mas também para os meninos – que podem e devem ser aliados na construção de uma sociedade mais equânime e justa.",Oficinar,2023-04-10,,,,,40,,,,,,,,,,,,,2026-06-25,1
book,"VOLTA, MURIQUI","VARIOS AUTORES",VARIOS,AUTORES,"Biblioteca do Ponto de Cultura UBEMTEM",9786500357509,6500357507,"Ecológica se afasta de onde nasceu,em busca de um novo bando. Isso faz parte da natureza de todo muriqui. Sem encontrar outra mata protegida, nem outro grupo, ela fica isolada. 
Será que sobrevive sozinha? 
Ao acompanhar a história dessa grande e pacifica primata, você vai entender a situação-e a salvação-de animais em risco de extinção. Vai entender por que onde há muriqui, pode ter bugio, cutia, anta, veado, jabuti, e a onça pintada. E por que nossa Ecológica é uma espécie bandeira e guarda-chuva!",SUR,2024-01-01,,,,,64,,,,,,,,,,,,,2026-06-25,1
book,"O rapto do galo","Fabiana Karla, Rosinha Campos",Fabiana,Karla,"Biblioteca do Ponto de Cultura UBEMTEM",9788562500633,8562500631,"Às vésperas do Carnaval, o Galo da Madrugada desaparece. O rapto do símbolo do bloco pernambucano, que arrasta mais de dois milhões de pessoas todos os anos pelas ruas do Recife, é o ponto de partida para a preciosa homenagem de Fabiana Karla ao folclore de sua terra natal. Em sua estreia na literatura, a atriz e comediante compõe um cordel contemporâneo enriquecido com as xilogravuras e os retalhos de chita de Rosinha, premiada ilustradora, também pernambucana, vencedora do Prêmio Jabuti. Após o sumiço do Galo na Ponte Duarte Coelho, o Momo se recusa a abrir o Carnaval. Mesmo com as ruas enfeitadas, o povo fantasiado e o frevo tocando, a festa é suspensa. Todos se juntam para procurá-lo. O cortejo do Maracatu vai a Olinda falar com o Homem da Meia-Noite e a Mulher do Dia, e passa por Caruaru para colher mais informações com os bonecos de barro do mestre Vitalino. Com medo do Papa-Figo, os Caboclos de Lança pensam em desistir. Até que o Cirandeiro tem um plano infalível. Com a mesma leveza e o humor que caracterizam seu trabalho como atriz, Fabiana Karla recupera a tradição oral nordestina e transporta os pequenos leitores para um delicioso desfile de personagens e cores. Ao som do coco, da ciranda e do frevo Vassourinhas, O rapto do Galo apresenta as histórias que Fabiana ouviu da avó, Zulmira, e a riqueza do folclore pernambucano, dissecado em um glossário sobre ritmos, artistas e costumes populares.","Rocco Pequenos Leitores",2014-02-15,,,,,32,,,,,,,,,,,,,2026-06-25,1
book,"Dandara & Katua","Luciana Nunes",Luciana,Nunes,"Biblioteca do Ponto de Cultura UBEMTEM",9786525098319,6525098319,"Dandara & Katua são duas princesas com sonhos diferentes, mas com um mesmo coração curioso. Entre doces, aventuras e descobertas, aprendem que cada um pode ser o que quiser ― basta acreditar em si mesmo!",Ârterinha,2026-04-12,,,,,40,,,,,,,,,,,,,2026-06-25,1
book,"Águia e a Coruja e Outras Fábulas de la Fontaine","Jean de la Fontaine",Jean,Fontaine,"Biblioteca do Ponto de Cultura UBEMTEM",9788537719138,8537719137,"""Culpe a si mesma. Melhor dizendo, culpe a lei natural que faz com que vejamos nossos filhos como os mais belos, inteligentes, encantadores. Foi esse o retrato que fez dos seus filhos para a Águia... Como ela havia de reconhecê-los?""","Escala Educacional",2013-01-01,,,,,40,,,,,,,,,,,,,2026-06-25,1
book,"O bordado da minha avó","Clarice Campos, Ana Cardia",Clarice,Campos,"Biblioteca do Ponto de Cultura UBEMTEM",9786585972185,658597218X,"Em O Bordado da Minha Avó , Clarice Campos transforma linhas, pontos e tecidos em memória, afeto e ancestralidade. Enquanto borda, a avó da narradora também costura histórias, ensinamentos e lembranças que atravessam gerações.Entre fios coloridos, palavras delicadas e imagens poéticas, a obra aborda pertencimento, identidade negra, liberdade e herança cultural de forma sensível e acolhedora.Cada página revela como o ato de bordar pode unir passado, presente e futuro, transformando memórias em resistência e amor.Com texto lírico e ilustrações inspiradas no universo artesanal, este livro convida crianças e adultos a refletirem sobre suas origens, os laços familiares e as histórias que ajudam a construir quem somos.Indicação pedagógica: Educação Infantil e Anos Iniciais do Ensino Fundamental ― recomendado para leitores a partir de 4 anos.",Troinha,2026-06-18,,,,,32,,,,,,,,,,,,,2026-06-25,1
book,"O coração e a garrafa","Oliver Jeffers",Oliver,Jeffers,"Biblioteca do Ponto de Cultura UBEMTEM",9788516075767,8516075761,"Era uma vez uma menina cheia de admiração pelo mundo a sua volta. Até que um dia aconteceu algo que a fez guardar seu coração em um lugar seguro, de onde não poderia tirá-lo... Leia mais",Salamandra,,,,,,,,,,,,,,,,,,,2026-06-25,1
book,"100 Números Para Sonhar Um Mundo Diferente","Elen Riot",Elen,Riot,"Biblioteca do Ponto de Cultura UBEMTEM",9788560820795,8560820795,"Em meio a um turbilhão de informações, números, acontecimentos, não é fácil se situar e entender o mundo, principalmente quando se é adolescente. Este livro traz 100 números-chave, escolhidos para fazer pensar, refletir e alimentar discussões a respeito de situações que nos cercam, como os grandes desafios do século XXI. Alguns dados e recortes oferecem argumentos e razões que possibilitam ver o futuro com otimismo.","SM Paradidático",2009-01-01,,,,,48,,,,,,,,,,,,,2026-06-25,1
book,"Coisas Importantes","Peter Carnavas, Regina Drummond",Peter,Carnavas,"Biblioteca do Ponto de Cultura UBEMTEM",9788532279200,8532279201,"Felipe vive com sua mãe. É ela quem faz tudo em casa, já que o pai de Felipe saiu da vida deles. Quando eles se desfazem de uma caixa repleta de coisas velhas que pertenceram ao pai ausente, uma série de eventos ocorrem e revelam as formas diferentes de Felipe e sua mãe lidarem com a falta do pai. Leia mais","FTD Educação",2011-01-01,,,,,32,,,,,,,,,,,,,2026-06-25,1
book,"O Menino Enrolado","PAULA PIANO SIMÕES",PAULA,SIMÕES,"Biblioteca do Ponto de Cultura UBEMTEM",9788598866659,8598866652,"Nasci em Lisboa numa madrugada chuvosa de inverno e cresci rodeada de muitas irmãs, quatro no total.
Por conta de uma revolução que aconteceu em Portugal, vim com meus pais e irmãs para o país de nossa mãe, o Brasil.
No Rio de Janeiro fiz muitos amigos e me formei em Direito. Casei-me com um carioca e tivemos três filhos.
Nova mudança, desta vez para a Bahia. O círculo de amizades não parou de aumentar e concluí uma pós-graduação em Produção Cultural. Surpresa, constato que moro em Salvador há quinze anos!
Quando os filhos cresceram e cada um tomou seu rumo, voltei minha atenção para uma atividade que gostava muito de fazer quando era jovem: escrever.
Comecei pelo blog ""Fagulha de Ideias"", onde comento sobre os livros que li e gostei.
Depois vieram as histórias.
A primeira foi ""A Pergunta Mais Importan-te"", publicada em 2015 pela editora Humani-dades. No início do ano, um conto meu foi incluído na coletânea ""Escritor Profissional"", da editora fluminense Oito e Meio
Agora é a vez de ""O Menino Enrolado"" receber toda a atenção e carinho da Caramurê
Publicações.",CARAMURÊ,2018-07-28,,,,,,,,,,,,,,,,,,2026-06-25,1
